,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
600,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,30 - 44,Female,"$125,000 to $149,999",West North Central
601,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Very familiar,18 - 29,Male,"$50,000 to $74,999",South Atlantic
602,Extremely worried,Extremely worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Very familiar,18 - 29,Female,"$25,000 to $49,999",Mountain
603,Not at all worried,Not at all worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Very familiar,60,Male,"$50,000 to $74,999",West South Central
604,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Not so familiar,Not at all familiar,60,Female,"$100,000 to $124,999",Pacific
605,Somewhat worried,Somewhat worried,Yes,No,No,Not so familiar,Not so familiar,30 - 44,Female,"$100,000 to $124,999",New England
606,Somewhat worried,Somewhat worried,No,,,,,,,,
607,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,60,Female,"$100,000 to $124,999",West South Central
608,Not so worried,Not so worried,No,No,No,Somewhat familiar,Not at all familiar,30 - 44,Female,"$50,000 to $74,999",East North Central
609,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,45 - 59,Female,"$50,000 to $74,999",South Atlantic
610,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,30 - 44,Female,Prefer not to answer,East North Central
611,Somewhat worried,Not so worried,Yes,No,Yes,Not at all familiar,Somewhat familiar,45 - 59,Female,"$75,000 to $99,999",Pacific
612,Not so worried,Somewhat worried,Yes,"Yes, one or more major ones",No,Very familiar,Not at all familiar,45 - 59,Male,Prefer not to answer,Pacific
613,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Female,"$10,000 to $24,999",Pacific
614,Not so worried,Not so worried,No,No,No,Not so familiar,Somewhat familiar,45 - 59,Female,"$100,000 to $124,999",West North Central
615,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,60,Female,"$25,000 to $49,999",East North Central
616,Somewhat worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Not so familiar,45 - 59,Female,"$150,000 to $174,999",Pacific
617,Not so worried,Not so worried,Yes,No,No,Somewhat familiar,Not so familiar,60,Female,Prefer not to answer,West South Central
618,Somewhat worried,Somewhat worried,No,No,No,Very familiar,Not at all familiar,30 - 44,Female,"$200,000 and up",West North Central
619,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,60,Male,"$50,000 to $74,999",South Atlantic
620,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Not so familiar,60,Male,"$75,000 to $99,999",South Atlantic
621,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Somewhat familiar,18 - 29,Female,"$100,000 to $124,999",Pacific
622,Not so worried,Not at all worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Somewhat familiar,45 - 59,Male,"$75,000 to $99,999",Pacific
623,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$200,000 and up",Middle Atlantic
624,Not at all worried,Not so worried,No,No,No,Very familiar,Very familiar,60,Male,"$100,000 to $124,999",West South Central
625,Not so worried,Not so worried,No,No,No,Extremely familiar,Extremely familiar,60,Female,Prefer not to answer,Middle Atlantic
626,Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Not at all familiar,Somewhat familiar,18 - 29,Female,"$10,000 to $24,999",East North Central
627,Somewhat worried,Very worried,Yes,"Yes, one or more major ones",No,Extremely familiar,Very familiar,18 - 29,Male,"$25,000 to $49,999",Pacific
628,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Very familiar,45 - 59,Female,"$50,000 to $74,999",Mountain
629,Not at all worried,Not so worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$0 to $9,999",West South Central
630,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Not at all familiar,30 - 44,Female,"$75,000 to $99,999",Pacific
631,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Not at all familiar,Not at all familiar,30 - 44,Female,Prefer not to answer,Middle Atlantic
632,Somewhat worried,Very worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Somewhat familiar,45 - 59,Female,"$10,000 to $24,999",Pacific
633,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,60,Female,Prefer not to answer,West South Central
634,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$25,000 to $49,999",Middle Atlantic
635,Somewhat worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$50,000 to $74,999",South Atlantic
636,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$10,000 to $24,999",Pacific
637,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,18 - 29,Female,"$50,000 to $74,999",West South Central
638,Not at all worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,60,Female,"$50,000 to $74,999",West North Central
639,Very worried,Extremely worried,No,No,No,Not so familiar,Not so familiar,18 - 29,Male,Prefer not to answer,Pacific
640,Not at all worried,Not so worried,Yes,"Yes, one or more major ones",No,Extremely familiar,Not at all familiar,18 - 29,Female,"$125,000 to $149,999",Pacific
641,Not so worried,Not so worried,No,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$125,000 to $149,999",East North Central
642,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$75,000 to $99,999",South Atlantic
643,Somewhat worried,Not so worried,No,"Yes, one or more minor ones",No,Not at all familiar,Somewhat familiar,18 - 29,Male,"$50,000 to $74,999",South Atlantic
644,Somewhat worried,Extremely worried,Yes,"Yes, one or more minor ones",No,Not so familiar,Somewhat familiar,18 - 29,Female,Prefer not to answer,Middle Atlantic
645,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,45 - 59,Female,Prefer not to answer,Middle Atlantic
646,Very worried,Very worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Somewhat familiar,18 - 29,Female,"$25,000 to $49,999",Pacific
647,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Female,Prefer not to answer,West North Central
648,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,18 - 29,Male,"$50,000 to $74,999",Mountain
649,Not at all worried,Not at all worried,No,No,No,Not so familiar,Not so familiar,30 - 44,Female,Prefer not to answer,South Atlantic
650,Not so worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Not so familiar,45 - 59,Male,"$100,000 to $124,999",Pacific
651,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,60,Female,"$50,000 to $74,999",Pacific
652,Not at all worried,Not so worried,Yes,No,No,Somewhat familiar,Not at all familiar,60,Male,"$50,000 to $74,999",East North Central
653,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,60,Male,"$150,000 to $174,999",East North Central
654,Somewhat worried,Somewhat worried,Yes,No,No,Not so familiar,Not so familiar,18 - 29,Female,"$25,000 to $49,999",Pacific
655,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Not so familiar,Not at all familiar,60,Female,"$75,000 to $99,999",East North Central
656,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Female,"$100,000 to $124,999",West North Central
657,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Not at all familiar,45 - 59,Male,"$200,000 and up",Pacific
658,Very worried,Very worried,Yes,No,No,Not at all familiar,Not at all familiar,45 - 59,Female,"$50,000 to $74,999",Middle Atlantic
659,Somewhat worried,Somewhat worried,No,No,No,,,,,,
660,Extremely worried,Extremely worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Not so familiar,60,Male,"$50,000 to $74,999",New England
661,Not so worried,Not so worried,No,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$50,000 to $74,999",Middle Atlantic
662,Not so worried,Not so worried,Yes,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",South Atlantic
663,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,45 - 59,Male,"$25,000 to $49,999",West South Central
664,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$25,000 to $49,999",South Atlantic
665,Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Extremely familiar,60,Female,"$25,000 to $49,999",Middle Atlantic
666,Not at all worried,Not at all worried,No,No,No,Not so familiar,Not at all familiar,45 - 59,Female,"$10,000 to $24,999",Middle Atlantic
667,Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,60,Male,"$50,000 to $74,999",South Atlantic
668,Not so worried,Not so worried,No,No,No,Somewhat familiar,Not at all familiar,60,Male,"$150,000 to $174,999",South Atlantic
669,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Male,"$125,000 to $149,999",South Atlantic
670,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Female,"$25,000 to $49,999",West South Central
671,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,45 - 59,Female,"$150,000 to $174,999",Middle Atlantic
672,Not at all worried,Not at all worried,No,No,No,Very familiar,Very familiar,45 - 59,Female,"$100,000 to $124,999",South Atlantic
673,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$50,000 to $74,999",South Atlantic
674,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Very familiar,60,Male,"$50,000 to $74,999",West South Central
675,Not at all worried,Not so worried,Yes,No,No,Somewhat familiar,Not at all familiar,45 - 59,Male,"$75,000 to $99,999",East South Central
676,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,60,Female,"$50,000 to $74,999",Pacific
677,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,18 - 29,Male,Prefer not to answer,Middle Atlantic
678,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,18 - 29,Female,"$75,000 to $99,999",East North Central
679,Not at all worried,Not at all worried,No,No,No,Extremely familiar,Not at all familiar,60,Male,"$100,000 to $124,999",West South Central
680,Very worried,Very worried,Yes,"Yes, one or more major ones",No,Not so familiar,Not so familiar,30 - 44,Female,"$75,000 to $99,999",Middle Atlantic
681,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Not at all familiar,18 - 29,Female,"$150,000 to $174,999",West South Central
682,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Very familiar,18 - 29,Male,"$0 to $9,999",West North Central
683,Somewhat worried,Not so worried,No,"Yes, one or more major ones",No,Not at all familiar,Not so familiar,18 - 29,Female,"$25,000 to $49,999",South Atlantic
684,Not so worried,Not so worried,No,No,No,Somewhat familiar,Not at all familiar,45 - 59,Female,"$200,000 and up",Middle Atlantic
685,Not so worried,Not so worried,No,No,No,Not so familiar,Not at all familiar,60,Male,"$50,000 to $74,999",Middle Atlantic
686,Not at all worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Female,"$75,000 to $99,999",Middle Atlantic
687,Somewhat worried,Somewhat worried,No,"Yes, one or more major ones",Yes,Very familiar,Not at all familiar,60,Female,"$100,000 to $124,999",Pacific
688,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Male,"$75,000 to $99,999",East North Central
689,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Very familiar,30 - 44,Male,"$50,000 to $74,999",Pacific
690,Somewhat worried,Very worried,No,"Yes, one or more minor ones",Yes,Extremely familiar,Very familiar,30 - 44,Female,"$10,000 to $24,999",South Atlantic
691,Not so worried,Somewhat worried,Yes,No,No,Not so familiar,Not so familiar,18 - 29,Female,"$10,000 to $24,999",Middle Atlantic
692,Somewhat worried,Somewhat worried,No,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Female,"$100,000 to $124,999",Middle Atlantic
693,Somewhat worried,Very worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Very familiar,18 - 29,Female,"$75,000 to $99,999",Middle Atlantic
694,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not so familiar,18 - 29,Female,"$10,000 to $24,999",South Atlantic
695,Somewhat worried,Not so worried,No,No,No,Somewhat familiar,Not at all familiar,45 - 59,Female,"$100,000 to $124,999",West South Central
696,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,45 - 59,Female,"$0 to $9,999",East South Central
697,Somewhat worried,Somewhat worried,No,"Yes, one or more major ones",No,Extremely familiar,Not at all familiar,60,Male,"$75,000 to $99,999",Pacific
698,Somewhat worried,Not so worried,No,"Yes, one or more major ones",No,Extremely familiar,Extremely familiar,30 - 44,Male,"$25,000 to $49,999",West North Central
699,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Female,"$50,000 to $74,999",East North Central
700,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not so familiar,18 - 29,Female,"$50,000 to $74,999",Pacific
701,Not so worried,Not so worried,No,"Yes, one or more minor ones",Yes,Not so familiar,Very familiar,45 - 59,Female,"$50,000 to $74,999",Mountain
702,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Not so familiar,30 - 44,Male,Prefer not to answer,West South Central
703,Very worried,Very worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,18 - 29,Male,Prefer not to answer,New England
704,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not so familiar,45 - 59,Female,"$100,000 to $124,999",West South Central
705,Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,30 - 44,Male,"$10,000 to $24,999",West South Central
706,Not so worried,Not so worried,No,No,No,Somewhat familiar,Somewhat familiar,60,Female,Prefer not to answer,South Atlantic
707,Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,60,Female,"$25,000 to $49,999",Middle Atlantic
708,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,30 - 44,Female,"$75,000 to $99,999",South Atlantic
709,Somewhat worried,Not so worried,Yes,No,No,Somewhat familiar,Very familiar,18 - 29,Male,"$0 to $9,999",South Atlantic
710,Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Extremely familiar,Somewhat familiar,30 - 44,Female,Prefer not to answer,West South Central
711,Not so worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not so familiar,60,Female,Prefer not to answer,Middle Atlantic
712,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,30 - 44,Female,"$50,000 to $74,999",Pacific
713,Not so worried,Not so worried,No,No,No,Not so familiar,Not at all familiar,60,Female,Prefer not to answer,New England
714,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Not at all familiar,60,Female,"$50,000 to $74,999",Middle Atlantic
715,Not so worried,Not so worried,No,"Yes, one or more major ones",No,Very familiar,Very familiar,45 - 59,Male,"$10,000 to $24,999",Pacific
716,Not so worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Not at all familiar,45 - 59,Female,"$75,000 to $99,999",West South Central
717,Extremely worried,Extremely worried,No,"Yes, one or more minor ones",No,Extremely familiar,Not at all familiar,30 - 44,Male,"$50,000 to $74,999",Pacific
718,Not at all worried,Not so worried,No,No,No,Not at all familiar,Not at all familiar,18 - 29,Female,"$0 to $9,999",West North Central
719,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,30 - 44,Male,"$0 to $9,999",Pacific
720,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,30 - 44,Male,"$50,000 to $74,999",West North Central
721,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Not at all familiar,45 - 59,Female,"$200,000 and up",South Atlantic
722,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Not so familiar,45 - 59,Male,"$10,000 to $24,999",Pacific
723,Somewhat worried,Extremely worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$50,000 to $74,999",South Atlantic
724,Somewhat worried,Very worried,Yes,"Yes, one or more major ones",No,Very familiar,Not so familiar,45 - 59,Female,Prefer not to answer,West South Central
725,Not so worried,Very worried,No,No,No,Very familiar,Very familiar,18 - 29,Male,"$25,000 to $49,999",West North Central
726,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Not at all familiar,45 - 59,Female,"$75,000 to $99,999",South Atlantic
727,Not so worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Not at all familiar,60,Female,"$200,000 and up",South Atlantic
728,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,30 - 44,Female,"$50,000 to $74,999",Pacific
729,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,30 - 44,Female,"$100,000 to $124,999",Middle Atlantic
730,Not so worried,Not so worried,No,"Yes, one or more major ones",No,Very familiar,Not so familiar,45 - 59,Female,"$50,000 to $74,999",Pacific
731,Not so worried,Somewhat worried,No,No,Yes,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$25,000 to $49,999",East South Central
732,Very worried,Extremely worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Not so familiar,60,Female,"$25,000 to $49,999",
733,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Female,"$50,000 to $74,999",Pacific
734,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Somewhat familiar,60,Female,Prefer not to answer,New England
735,Very worried,Very worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Not so familiar,60,Female,"$75,000 to $99,999",Pacific
736,Somewhat worried,Somewhat worried,No,"Yes, one or more major ones",Yes,Somewhat familiar,Somewhat familiar,60,Male,Prefer not to answer,Pacific
737,Somewhat worried,Somewhat worried,Yes,,,,,,,,
738,Not so worried,Somewhat worried,No,No,No,Very familiar,Not so familiar,30 - 44,Male,"$10,000 to $24,999",South Atlantic
739,Not at all worried,Not at all worried,No,No,No,Very familiar,Not so familiar,30 - 44,Female,"$150,000 to $174,999",West North Central
740,Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,45 - 59,Female,Prefer not to answer,Middle Atlantic
741,Very worried,Very worried,Yes,"Yes, one or more minor ones",No,Very familiar,Extremely familiar,60,Female,"$200,000 and up",West South Central
742,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not so familiar,18 - 29,Female,"$10,000 to $24,999",Pacific
743,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Not so familiar,Very familiar,18 - 29,Female,"$0 to $9,999",South Atlantic
744,Somewhat worried,Somewhat worried,No,No,No,Not so familiar,Not at all familiar,30 - 44,Female,"$75,000 to $99,999",Middle Atlantic
745,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,45 - 59,Female,"$75,000 to $99,999",New England
746,Very worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,60,Female,"$25,000 to $49,999",Pacific
747,Not so worried,Not so worried,Yes,"Yes, one or more major ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$125,000 to $149,999",Mountain
748,Somewhat worried,Not so worried,No,No,No,Very familiar,Not so familiar,60,Female,"$25,000 to $49,999",Middle Atlantic
749,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",Yes,Very familiar,Very familiar,60,Male,"$25,000 to $49,999",Pacific
750,Not so worried,Somewhat worried,No,No,No,Not so familiar,Somewhat familiar,30 - 44,Female,"$125,000 to $149,999",New England
751,Not so worried,Not so worried,Yes,No,No,Very familiar,Somewhat familiar,60,Female,"$100,000 to $124,999",New England
752,Not at all worried,Not at all worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,60,Male,"$200,000 and up",Mountain
753,Not at all worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not so familiar,30 - 44,Female,"$175,000 to $199,999",Middle Atlantic
754,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Female,"$25,000 to $49,999",Mountain
755,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,30 - 44,Male,"$75,000 to $99,999",Pacific
756,Very worried,Extremely worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Not at all familiar,45 - 59,Female,Prefer not to answer,Pacific
757,Not so worried,Not so worried,No,No,No,Not at all familiar,Not so familiar,30 - 44,Female,"$10,000 to $24,999",East North Central
758,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,60,Male,"$125,000 to $149,999",South Atlantic
759,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not so familiar,45 - 59,Male,"$25,000 to $49,999",South Atlantic
760,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Female,"$150,000 to $174,999",Middle Atlantic
761,Somewhat worried,Somewhat worried,No,No,No,Very familiar,Very familiar,60,Female,"$50,000 to $74,999",East South Central
762,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Not so familiar,45 - 59,Male,"$50,000 to $74,999",Pacific
763,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Not so familiar,60,Female,Prefer not to answer,Pacific
764,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Female,"$150,000 to $174,999",South Atlantic
765,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Female,"$75,000 to $99,999",East North Central
766,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$25,000 to $49,999",East South Central
767,Not so worried,Not so worried,No,"Yes, one or more minor ones",Yes,Somewhat familiar,Not at all familiar,18 - 29,Male,"$25,000 to $49,999",Pacific
768,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Not at all familiar,Somewhat familiar,30 - 44,Female,"$25,000 to $49,999",Mountain
769,Not so worried,Not so worried,No,No,No,Not so familiar,Not so familiar,45 - 59,Female,"$150,000 to $174,999",New England
770,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Not so familiar,Somewhat familiar,60,Female,"$125,000 to $149,999",Middle Atlantic
771,Not so worried,Not so worried,Yes,No,No,Very familiar,Somewhat familiar,60,Female,"$0 to $9,999",
772,Not so worried,Not so worried,No,No,No,Very familiar,Not at all familiar,45 - 59,Male,"$50,000 to $74,999",Mountain
773,Not at all worried,Not at all worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,45 - 59,Male,"$200,000 and up",East North Central
774,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$50,000 to $74,999",South Atlantic
775,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",Yes,Very familiar,Not so familiar,60,Female,Prefer not to answer,East North Central
776,Somewhat worried,Not at all worried,No,No,Yes,Extremely familiar,Somewhat familiar,18 - 29,Male,"$0 to $9,999",Pacific
777,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,18 - 29,Female,"$50,000 to $74,999",South Atlantic
778,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,30 - 44,Female,"$50,000 to $74,999",Middle Atlantic
779,Not at all worried,Not at all worried,No,No,No,Extremely familiar,Not at all familiar,30 - 44,Male,"$200,000 and up",East North Central
780,Extremely worried,Extremely worried,Yes,No,Yes,Extremely familiar,Extremely familiar,18 - 29,Female,"$10,000 to $24,999",West North Central
781,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Not at all familiar,45 - 59,Male,"$200,000 and up",East North Central
782,Extremely worried,Extremely worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not so familiar,30 - 44,Male,"$10,000 to $24,999",
783,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Extremely familiar,30 - 44,Female,"$25,000 to $49,999",West South Central
784,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,30 - 44,Female,Prefer not to answer,West North Central
785,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,60,Female,"$0 to $9,999",Middle Atlantic
786,Somewhat worried,Very worried,Yes,"Yes, one or more minor ones",No,Not so familiar,Very familiar,30 - 44,Female,"$50,000 to $74,999",South Atlantic
787,Not at all worried,Not at all worried,Yes,"Yes, one or more major ones",No,Extremely familiar,Extremely familiar,30 - 44,Male,"$25,000 to $49,999",Mountain
788,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$10,000 to $24,999",New England
789,Extremely worried,Very worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,18 - 29,Male,Prefer not to answer,Middle Atlantic
790,Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Not at all familiar,45 - 59,Female,Prefer not to answer,East North Central
791,Not so worried,Not so worried,No,No,No,Not at all familiar,Not at all familiar,45 - 59,Female,"$50,000 to $74,999",South Atlantic
792,Not at all worried,Not at all worried,No,No,No,Not so familiar,Not at all familiar,45 - 59,Male,"$75,000 to $99,999",Middle Atlantic
793,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,45 - 59,Male,"$10,000 to $24,999",New England
794,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Extremely familiar,Not at all familiar,60,Female,"$125,000 to $149,999",Pacific
795,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,60,Female,Prefer not to answer,West South Central
796,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,60,Male,"$50,000 to $74,999",Middle Atlantic
797,Not so worried,Not so worried,No,No,No,Not so familiar,Not so familiar,18 - 29,Female,Prefer not to answer,West South Central
798,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Male,"$50,000 to $74,999",East North Central
799,Not so worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,45 - 59,Female,"$75,000 to $99,999",New England
